Datetime,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S
2021-11-09 12:30:00-05:00,"TSLA,META,PYPL,AEP,PCAR,PAYX,EBAY,CTAS,BIIB,MTCH,SE,LPLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMD,MU,SNPS,CDNS,FTNT,CRWD,DXCM,BIDU,ODFL,MRNA,MELI,OKTA,ALGN,ZS,LCID"
2021-11-09 13:30:00-05:00,"TSLA,META,SBUX,PYPL,MCHP,AEP,PCAR,EBAY,CTAS,BIIB,MTCH,SE,LPLA,BMRN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMD,MU,SNPS,CDNS,CRWD,BIDU,MRNA,MELI,OKTA,ALGN,DDOG,ZS"
2021-11-09 14:30:00-05:00,"TSLA,TMUS,SBUX,PYPL,MCHP,AEP,PCAR,BIIB,MTCH,SE,LPLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMD,MU,SNPS,CDNS,CRWD,MELI,OKTA,ALGN,DDOG,ZS"
2021-11-09 15:30:00-05:00,"TSLA,META,TMUS,SBUX,PYPL,MCHP,AEP,ILMN,PCAR,BIIB,SE,LPLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMD,MU,SNPS,CDNS,CRWD,BIDU,MELI,OKTA,ALGN,DDOG,ZS"
2021-11-10 09:30:00-05:00,"AAPL,TSLA,META,TXN,SBUX,PYPL,ASML,MAR,ILMN,ABNB,ENPH,SWKS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CSCO,GILD,MDLZ,ORLY,CRWD,MNST,PDD,BIDU,CHTR,CDW,JD"
2021-11-10 10:30:00-05:00,"AAPL,GOOG,TSLA,META,TXN,INTU,SBUX,PYPL,ASML,MCHP,MAR,ILMN,ABNB,ENPH,SWKS,MTCH,ANSS,LPLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PEP,CSCO,GILD,MDLZ,REGN,ORLY,CRWD,XEL,MNST,PDD,BIDU,EXC,CHTR,FAST,CDW"
2021-11-10 11:30:00-05:00,"GOOG,TSLA,META,AMD,TXN,INTU,PYPL,ASML,MCHP,MAR,FTNT,ABNB,NXPI,ENPH,SWKS,ANSS,LPLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PEP,CSCO,AMGN,GILD,MDLZ,REGN,ORLY,CRWD,XEL,MNST,PDD,BIDU,KDP,EXC,CHTR,FAST,CDW"
2021-11-10 12:30:00-05:00,"AAPL,MSFT,GOOGL,GOOG,TSLA,META,ADBE,AMD,TXN,QCOM,INTU,PYPL,ASML,MCHP,PANW,MAR,FTNT,ILMN,LULU,ABNB,NXPI,ENPH,MRNA,SWKS,ZM,ANSS,SE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PEP,CSCO,AMGN,GILD,MDLZ,ORLY,XEL,PDD,KDP,EXC,CHTR,FAST,CDW"
2021-11-10 13:30:00-05:00,"AAPL,MSFT,GOOGL,GOOG,TSLA,META,AVGO,ADBE,AMD,INTC,TXN,QCOM,INTU,SBUX,PYPL,ISRG,MRVL,ASML,KLAC,MCHP,PANW,MAR,FTNT,ILMN,LULU,ABNB,NXPI,ENPH,MRNA,SWKS,ZM,ALGN,ANSS,ZS,LCID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PEP,CSCO,AMGN,GILD,MDLZ,ORLY,XEL,PDD,EXC,CHTR,FAST,CDW"
2021-11-10 14:30:00-05:00,"AAPL,MSFT,GOOGL,GOOG,TSLA,META,AVGO,ADBE,AMD,INTC,TXN,QCOM,INTU,SBUX,PYPL,ISRG,MRVL,ASML,MCHP,PANW,MAR,FTNT,VRTX,ILMN,LULU,IDXX,NXPI,ENPH,SWKS,ZM,ALGN,ANSS,LCID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PEP,GILD,MDLZ,ORLY,XEL,EXC,CHTR,CDW"
