Datetime,Buy_Count,Sell_Count
2022-01-20 19:30:00+00:00,20,2
2022-01-20 20:30:00+00:00,22,4
2022-01-21 14:30:00+00:00,29,2
2022-01-21 15:30:00+00:00,11,1
2022-01-21 16:30:00+00:00,27,1
2022-01-21 17:30:00+00:00,30,0
2022-01-21 18:30:00+00:00,24,0
2022-01-21 19:30:00+00:00,33,1
2022-01-21 20:30:00+00:00,22,1
2022-01-24 14:30:00+00:00,74,0
2022-01-24 15:30:00+00:00,76,3
2022-01-24 16:30:00+00:00,81,1
2022-01-24 17:30:00+00:00,73,1
2022-01-24 18:30:00+00:00,55,1
2022-01-24 19:30:00+00:00,23,1
2022-01-24 20:30:00+00:00,6,0
2022-01-25 14:30:00+00:00,4,0
2022-01-25 15:30:00+00:00,18,1
2022-01-25 16:30:00+00:00,9,0
2022-01-25 17:30:00+00:00,3,1
2022-01-25 18:30:00+00:00,1,0
2022-01-25 19:30:00+00:00,1,1
2022-01-25 20:30:00+00:00,1,0
2022-01-26 14:30:00+00:00,1,3
2022-01-26 15:30:00+00:00,0,10
2022-01-26 16:30:00+00:00,0,26
2022-01-26 17:30:00+00:00,1,13
2022-01-26 18:30:00+00:00,1,10
2022-01-26 19:30:00+00:00,10,0
2022-01-26 20:30:00+00:00,32,0
2022-01-27 14:30:00+00:00,10,3
2022-01-27 15:30:00+00:00,7,4
2022-01-27 16:30:00+00:00,9,2
2022-01-27 17:30:00+00:00,16,2
2022-01-27 18:30:00+00:00,22,1
2022-01-27 19:30:00+00:00,19,1
2022-01-27 20:30:00+00:00,17,1
2022-01-28 14:30:00+00:00,47,1
2022-01-28 15:30:00+00:00,23,1
2022-01-28 16:30:00+00:00,22,2
2022-01-28 17:30:00+00:00,25,1
2022-01-28 18:30:00+00:00,32,1
2022-01-28 19:30:00+00:00,4,7
2022-01-28 20:30:00+00:00,3,9
2022-01-31 14:30:00+00:00,0,10
2022-01-31 15:30:00+00:00,1,17
2022-01-31 16:30:00+00:00,0,37
2022-01-31 17:30:00+00:00,0,64
2022-01-31 18:30:00+00:00,0,67
2022-01-31 19:30:00+00:00,1,67
2022-01-31 20:30:00+00:00,0,73
2022-02-01 14:30:00+00:00,0,71
2022-02-01 15:30:00+00:00,0,63
2022-02-01 16:30:00+00:00,0,62
2022-02-01 17:30:00+00:00,0,61
2022-02-01 18:30:00+00:00,0,72
2022-02-01 19:30:00+00:00,0,66
2022-02-01 20:30:00+00:00,1,61
2022-02-02 14:30:00+00:00,2,34
2022-02-02 15:30:00+00:00,2,29
2022-02-02 16:30:00+00:00,2,24
2022-02-02 17:30:00+00:00,2,24
2022-02-02 18:30:00+00:00,2,24
2022-02-02 19:30:00+00:00,1,29
2022-02-02 20:30:00+00:00,3,20
2022-02-03 14:30:00+00:00,8,31
2022-02-03 15:30:00+00:00,18,19
2022-02-03 16:30:00+00:00,20,17
2022-02-03 17:30:00+00:00,20,18
2022-02-03 18:30:00+00:00,19,15
2022-02-03 19:30:00+00:00,29,11
2022-02-03 20:30:00+00:00,39,9
2022-02-04 14:30:00+00:00,27,3
2022-02-04 15:30:00+00:00,34,2
2022-02-04 16:30:00+00:00,30,1
2022-02-04 17:30:00+00:00,24,2
2022-02-04 18:30:00+00:00,20,2
2022-02-04 19:30:00+00:00,21,2
2022-02-04 20:30:00+00:00,31,1
2022-02-07 14:30:00+00:00,12,5
2022-02-07 15:30:00+00:00,13,6
2022-02-07 16:30:00+00:00,17,4
2022-02-07 17:30:00+00:00,13,6
2022-02-07 18:30:00+00:00,9,9
2022-02-07 19:30:00+00:00,9,5
2022-02-07 20:30:00+00:00,7,9
2022-02-08 14:30:00+00:00,3,5
2022-02-08 15:30:00+00:00,1,20
2022-02-08 16:30:00+00:00,2,19
2022-02-08 17:30:00+00:00,3,12
2022-02-08 18:30:00+00:00,5,8
2022-02-08 19:30:00+00:00,7,8
2022-02-08 20:30:00+00:00,4,14
2022-02-09 14:30:00+00:00,0,22
2022-02-09 15:30:00+00:00,1,27
