Date_Time,Buy_Count,Sell_Count,B_S,Position,Close
2024-04-01 17:30:00+00:00,13,8,5,No Signal,18261.5293
2024-04-01 18:30:00+00:00,12,8,4,No Signal,18259.0625
2024-04-01 19:30:00+00:00,15,7,8,No Signal,18290.73242
2024-04-02 13:30:00+00:00,43,1,42,No Signal,18035.23438
2024-04-02 14:30:00+00:00,41,0,41,No Signal,18062.50391
2024-04-02 15:30:00+00:00,43,1,42,No Signal,18048.25977
2024-04-02 16:30:00+00:00,39,3,36,No Signal,18075.3125
2024-04-02 17:30:00+00:00,41,1,40,No Signal,18078.10742
2024-04-02 18:30:00+00:00,39,1,38,No Signal,18098.86133
2024-04-02 19:30:00+00:00,37,4,33,No Signal,18122.08789
2024-04-03 13:30:00+00:00,21,2,19,No Signal,18201.04883
2024-04-03 14:30:00+00:00,17,3,14,No Signal,18232.69336
2024-04-03 15:30:00+00:00,17,4,13,No Signal,18213.85938
2024-04-03 16:30:00+00:00,19,5,14,No Signal,18212.84766
2024-04-03 17:30:00+00:00,18,6,12,No Signal,18202.16406
2024-04-03 18:30:00+00:00,24,4,20,No Signal,18126.58789
2024-04-03 19:30:00+00:00,24,4,20,No Signal,18161.21094
2024-04-04 13:30:00+00:00,8,27,-19,No Signal,18306.26172
2024-04-04 14:30:00+00:00,11,21,-10,No Signal,18297.49805
2024-04-04 15:30:00+00:00,9,27,-18,No Signal,18349.41016
2024-04-04 16:30:00+00:00,8,29,-21,Short,18338.4375
2024-04-04 17:30:00+00:00,14,5,9,No Signal,18138.26758
2024-04-04 18:30:00+00:00,25,0,25,Long,17915.78516
2024-04-04 19:30:00+00:00,29,0,29,No Signal,17876.17773
2024-04-05 13:30:00+00:00,23,0,23,No Signal,18008.33203
2024-04-05 14:30:00+00:00,13,0,13,No Signal,18082.31836
2024-04-05 15:30:00+00:00,8,1,7,No Signal,18157.64453
2024-04-05 16:30:00+00:00,9,1,8,No Signal,18166.87891
2024-04-05 17:30:00+00:00,8,0,8,No Signal,18087.74023
2024-04-05 18:30:00+00:00,5,0,5,No Signal,18092.24414
2024-04-05 19:30:00+00:00,8,0,8,No Signal,18105.875
2024-04-08 13:30:00+00:00,17,0,17,No Signal,18146.2793
2024-04-08 14:30:00+00:00,9,0,9,No Signal,18141.29102
2024-04-08 15:30:00+00:00,16,0,16,No Signal,18089.51172
2024-04-08 16:30:00+00:00,12,0,12,No Signal,18114.73828
2024-04-08 17:30:00+00:00,3,6,-3,No Signal,18121.73242
2024-04-08 18:30:00+00:00,2,24,-22,Short,18119.55078
2024-04-08 19:30:00+00:00,3,28,-25,No Signal,18103.05078
2024-04-09 13:30:00+00:00,5,31,-26,No Signal,18091.86523
2024-04-09 14:30:00+00:00,15,21,-6,No Signal,18035.49023
2024-04-09 15:30:00+00:00,13,18,-5,No Signal,18095.22656
2024-04-09 16:30:00+00:00,13,16,-3,No Signal,18085.43164
2024-04-09 17:30:00+00:00,8,24,-16,No Signal,18070.49023
2024-04-09 18:30:00+00:00,7,28,-21,No Signal,18132.82813
2024-04-09 19:30:00+00:00,6,32,-26,No Signal,18170.83984
2024-04-10 13:30:00+00:00,10,4,6,No Signal,17996.95117
2024-04-10 14:30:00+00:00,15,1,14,No Signal,17992.625
2024-04-10 15:30:00+00:00,17,1,16,No Signal,17965.03711
2024-04-10 16:30:00+00:00,16,1,15,No Signal,17997.09766
2024-04-10 17:30:00+00:00,22,2,20,Long,17961.80078
2024-04-10 18:30:00+00:00,9,4,5,No Signal,18000.46484
2024-04-10 19:30:00+00:00,11,5,6,No Signal,18010.08203
2024-04-11 13:30:00+00:00,26,2,24,No Signal,18034.72656
2024-04-11 14:30:00+00:00,19,5,14,No Signal,18071.50586
2024-04-11 15:30:00+00:00,18,3,15,No Signal,18120.93359
2024-04-11 16:30:00+00:00,7,8,-1,No Signal,18233.23633
2024-04-11 17:30:00+00:00,4,19,-15,No Signal,18312.89844
2024-04-11 18:30:00+00:00,8,17,-9,No Signal,18322.13086
2024-04-11 19:30:00+00:00,12,13,-1,No Signal,18306.98047
2024-04-12 13:30:00+00:00,14,10,4,No Signal,18105.65234
2024-04-12 14:30:00+00:00,10,7,3,No Signal,18089.9043
2024-04-12 15:30:00+00:00,12,6,6,No Signal,18032.88477
2024-04-12 16:30:00+00:00,20,2,18,No Signal,17965.6875
2024-04-12 17:30:00+00:00,12,3,9,No Signal,17996.56445
2024-04-12 18:30:00+00:00,17,2,15,No Signal,17966.84766
2024-04-12 19:30:00+00:00,11,4,7,No Signal,18005.95703
2024-04-15 13:30:00+00:00,13,3,10,No Signal,18056.49609
2024-04-15 14:30:00+00:00,13,3,10,No Signal,18023.24219
2024-04-15 15:30:00+00:00,19,2,17,No Signal,17966.62305
2024-04-15 16:30:00+00:00,51,0,51,No Signal,17786.44336
2024-04-15 17:30:00+00:00,75,0,75,No Signal,17731.36523
2024-04-15 18:30:00+00:00,74,3,71,No Signal,17693.51172
2024-04-15 19:30:00+00:00,66,1,65,No Signal,17707.81055
2024-04-16 13:30:00+00:00,47,2,45,No Signal,17700.89063
2024-04-16 14:30:00+00:00,33,1,32,No Signal,17745.19531
2024-04-16 15:30:00+00:00,26,0,26,No Signal,17734.99219
2024-04-16 16:30:00+00:00,21,1,20,No Signal,17734.24219
2024-04-16 17:30:00+00:00,32,2,30,No Signal,17694.53125
2024-04-16 18:30:00+00:00,17,1,16,No Signal,17779.67969
2024-04-16 19:30:00+00:00,27,1,26,No Signal,17711.68945
2024-04-17 13:30:00+00:00,29,0,29,No Signal,17688.76563
2024-04-17 14:30:00+00:00,39,0,39,No Signal,17615.79883
2024-04-17 15:30:00+00:00,44,1,43,No Signal,17523.78125
2024-04-17 16:30:00+00:00,13,3,10,No Signal,17549.05859
2024-04-17 17:30:00+00:00,8,8,0,No Signal,17553.375
2024-04-17 18:30:00+00:00,11,6,5,No Signal,17494.33008
