Date,Signal
2024-07-31 18:30:00+01:00,Short
2024-07-31 19:30:00+01:00,Long
2024-08-09 17:30:00+01:00,Short
2024-08-09 19:30:00+01:00,Long
2024-08-13 17:30:00+01:00,Short
2024-08-14 18:30:00+01:00,Long
2024-08-16 15:30:00+01:00,Short
2024-08-16 18:30:00+01:00,Long
2024-08-20 20:30:00+01:00,Short
2024-08-22 14:30:00+01:00,Long
2024-08-22 17:30:00+01:00,Short
2024-08-29 17:30:00+01:00,Long
2024-08-30 16:30:00+01:00,Short
2024-09-04 19:30:00+01:00,Long
2024-09-06 14:30:00+01:00,Short
2024-09-06 20:30:00+01:00,Long
2024-09-09 20:30:00+01:00,Short
2024-09-11 15:30:00+01:00,Long
2024-09-12 17:30:00+01:00,Short
2024-09-12 18:30:00+01:00,Long
2024-09-16 15:30:00+01:00,Short
2024-09-16 18:30:00+01:00,Long
2024-09-16 19:30:00+01:00,Short
2024-09-17 14:30:00+01:00,Long
2024-09-17 19:30:00+01:00,Short
2024-09-20 20:30:00+01:00,Long
2024-09-24 19:30:00+01:00,Short
2024-09-25 14:30:00+01:00,Long
2024-09-25 17:30:00+01:00,Short
2024-09-25 19:30:00+01:00,Long
2024-09-26 19:30:00+01:00,Short
2024-09-27 17:30:00+01:00,Long
2024-09-27 20:30:00+01:00,Short
